in,x,y,qc,tc,tr,te,tl
2,41,49,10,10,0,161,171
3,35,17,7,10,0,50,60
4,55,45,13,10,0,116,126
5,55,20,19,10,0,149,159
6,15,30,26,10,0,34,44
7,25,30,3,10,0,99,109
8,20,50,5,10,0,81,91
9,10,43,9,10,0,95,105
10,55,60,16,10,0,97,107
11,30,60,16,10,0,124,134
12,20,65,12,10,0,67,77
13,50,35,19,10,0,63,73
14,30,25,23,10,0,159,169
15,15,10,20,10,0,32,42
16,30,5,8,10,0,61,71
17,10,20,19,10,0,75,85
18,5,30,2,10,0,157,167
19,20,40,12,10,0,87,97
20,15,60,17,10,0,76,86
21,45,65,9,10,0,126,136
22,45,20,11,10,0,62,72
23,45,10,18,10,0,97,107
24,55,5,29,10,0,68,78
25,65,35,3,10,0,153,163
26,65,20,6,10,0,172,182
27,45,30,17,10,0,132,142
28,35,40,16,10,0,37,47
29,41,37,16,10,0,39,49
30,64,42,9,10,0,63,73
31,40,60,21,10,0,71,81
32,31,52,27,10,0,50,60
33,35,69,23,10,0,141,151
34,53,52,11,10,0,37,47
35,65,55,14,10,0,117,127
36,63,65,8,10,0,143,153
37,2,60,5,10,0,41,51
38,20,20,8,10,0,134,144
39,5,5,16,10,0,83,93
40,60,12,31,10,0,44,54
41,40,25,9,10,0,85,95
42,42,7,5,10,0,97,107
43,24,12,5,10,0,31,41
44,23,3,7,10,0,132,142
45,11,14,18,10,0,69,79
46,6,38,16,10,0,32,42
47,2,48,1,10,0,117,127
48,8,56,27,10,0,51,61
49,13,52,36,10,0,165,175
50,6,68,30,10,0,108,118
51,47,47,13,10,0,124,134
52,49,58,10,10,0,88,98
53,27,43,9,10,0,52,62
54,37,31,14,10,0,95,105
55,57,29,18,10,0,140,150
56,63,23,2,10,0,136,146
57,53,12,6,10,0,130,140
58,32,12,7,10,0,101,111
59,36,26,18,10,0,200,210
60,21,24,28,10,0,18,28
61,17,34,3,10,0,162,172
62,12,24,13,10,0,76,86
63,24,58,19,10,0,58,68
64,27,69,10,10,0,34,44
65,15,77,9,10,0,73,83
66,62,77,20,10,0,51,61
67,49,73,25,10,0,127,137
68,67,5,25,10,0,83,93
69,56,39,36,10,0,142,152
70,37,47,6,10,0,50,60
71,37,56,5,10,0,182,192
72,57,68,15,10,0,77,87
73,47,16,25,10,0,35,45
74,44,17,9,10,0,78,88
75,46,13,8,10,0,149,159
76,49,11,18,10,0,69,79
77,49,42,13,10,0,73,83
78,53,43,14,10,0,179,189
79,61,52,3,10,0,96,106
80,57,48,23,10,0,92,102
81,56,37,6,10,0,182,192
82,55,54,26,10,0,94,104
83,15,47,16,10,0,55,65
84,14,37,11,10,0,44,54
85,11,31,7,10,0,101,111
86,16,22,41,10,0,91,101
87,4,18,35,10,0,94,104
88,28,18,26,10,0,93,103
89,26,52,9,10,0,74,84
90,26,35,15,10,0,176,186
91,31,67,3,10,0,95,105
92,15,19,1,10,0,160,170
93,22,22,2,10,0,18,28
94,18,24,22,10,0,188,198
95,26,27,27,10,0,100,110
96,25,24,20,10,0,39,49
97,22,27,11,10,0,135,145
98,25,21,12,10,0,133,143
99,19,21,10,10,0,58,68
100,20,26,9,10,0,83,93
101,18,18,17,10,0,185,195
