in,x,y,qc,tc,tr,te,tl
2,25,85,20,10,0,673,793
3,22,75,30,10,0,152,272
4,22,85,10,10,0,471,591
5,20,80,40,10,0,644,764
6,20,85,20,10,0,73,193
7,18,75,20,10,0,388,508
8,15,75,20,10,0,300,420
9,15,80,10,10,0,367,487
10,10,35,20,10,0,371,491
11,10,40,30,10,0,519,639
12,8,40,40,10,0,195,315
13,8,45,20,10,0,223,343
14,5,35,10,10,0,653,773
15,5,45,10,10,0,35,155
16,2,40,20,10,0,174,294
17,0,40,20,10,0,255,375
18,0,45,20,10,0,703,823
19,44,5,20,10,0,335,455
20,42,10,40,10,0,254,374
21,42,15,10,10,0,537,657
22,40,5,10,10,0,215,335
23,40,15,40,10,0,375,495
24,38,5,30,10,0,201,321
25,38,15,10,10,0,681,801
26,35,5,20,10,0,784,904
27,95,30,30,10,0,529,649
28,95,35,20,10,0,146,266
29,92,30,10,10,0,149,269
30,90,35,10,10,0,194,314
31,88,30,10,10,0,246,366
32,88,35,20,10,0,165,285
33,87,30,10,10,0,621,741
34,85,25,10,10,0,80,200
35,85,35,30,10,0,487,607
36,67,85,20,10,0,657,777
37,65,85,40,10,0,43,163
38,65,82,10,10,0,557,677
39,62,80,30,10,0,278,398
40,60,80,10,10,0,64,184
41,60,85,30,10,0,329,449
42,58,75,20,10,0,376,496
43,55,80,10,10,0,33,153
44,55,85,20,10,0,574,694
45,55,82,10,10,0,217,337
46,20,82,10,10,0,37,157
47,18,80,10,10,0,489,609
48,2,45,10,10,0,105,225
49,42,5,10,10,0,732,852
50,42,12,10,10,0,440,560
51,72,35,30,10,0,507,627
52,55,20,19,10,0,326,446
53,25,30,3,10,0,175,295
54,20,50,5,10,0,375,495
55,55,60,16,10,0,601,721
56,30,60,16,10,0,599,719
57,50,35,19,10,0,557,677
58,30,25,23,10,0,397,517
59,15,10,20,10,0,782,902
60,10,20,19,10,0,42,162
61,15,60,17,10,0,694,814
62,45,65,9,10,0,258,378
63,65,35,3,10,0,167,287
64,65,20,6,10,0,39,159
65,45,30,17,10,0,191,311
66,35,40,16,10,0,11,131
67,41,37,16,10,0,566,686
68,64,42,9,10,0,268,388
69,40,60,21,10,0,612,732
70,31,52,27,10,0,157,277
71,35,69,23,10,0,810,930
72,65,55,14,10,0,241,361
73,63,65,8,10,0,60,180
74,2,60,5,10,0,286,406
75,20,20,8,10,0,645,765
76,5,5,16,10,0,232,352
77,60,12,31,10,0,268,388
78,23,3,7,10,0,764,884
79,8,56,27,10,0,365,485
80,6,68,30,10,0,352,472
81,47,47,13,10,0,822,942
82,49,58,10,10,0,355,475
83,27,43,9,10,0,152,272
84,37,31,14,10,0,105,225
85,57,29,18,10,0,395,515
86,63,23,2,10,0,344,464
87,21,24,28,10,0,349,469
88,12,24,13,10,0,359,479
89,24,58,19,10,0,260,380
90,67,5,25,10,0,713,833
91,37,47,6,10,0,359,479
92,49,42,13,10,0,719,839
93,53,43,14,10,0,14,134
94,61,52,3,10,0,808,928
95,57,48,23,10,0,392,512
96,56,37,6,10,0,100,220
97,55,54,26,10,0,562,682
98,4,18,35,10,0,547,667
99,26,52,9,10,0,172,292
100,26,35,15,10,0,308,428
101,31,67,3,10,0,810,930
