in,x,y,q,tc,te,tl
2,-4,106,13,10,0,0
3,-11,106,122,10,0,0
4,-12,115,30,10,0,0
5,4,123,3,10,0,0
6,7,113,5,10,0,0
7,-13,125,422,10,0,0
8,-11,105,13,10,0,0
9,8,107,22,10,0,0
10,6,111,173,10,0,0
11,0,125,41,10,0,0
12,8,118,8,10,0,0
13,4,114,8,10,0,0
14,0,113,110,10,0,0
15,-5,109,198,10,0,0
16,-11,112,384,10,0,0
17,6,106,193,10,0,0
18,-11,123,238,10,0,0
19,-6,126,265,10,0,0
20,26,-33,3,10,0,0
21,34,-38,469,10,0,0
22,26,-44,7,10,0,0
23,28,-36,6,10,0,0
24,30,-39,108,10,0,0
25,44,-31,10,10,0,0
26,43,-27,40,10,0,0
27,45,-22,635,10,0,0
28,37,-44,49,10,0,0
29,32,-23,149,10,0,0
30,35,-41,403,10,0,0
31,48,-27,42,10,0,0
32,41,-35,70,10,0,0
33,45,-41,201,10,0,0
34,43,-36,66,10,0,0
35,34,-38,526,10,0,0
36,43,-23,6,10,0,0
37,32,-41,279,10,0,0
38,33,-24,160,10,0,0
39,48,-26,3,10,0,0
40,102,85,4,10,0,0
41,90,69,105,10,0,0
42,95,88,46,10,0,0
43,79,74,474,10,0,0
44,77,89,7,10,0,0
45,99,81,7,10,0,0
46,99,80,99,10,0,0
47,81,84,126,10,0,0
48,77,69,119,10,0,0
49,86,85,46,10,0,0
50,82,89,273,10,0,0
51,86,86,91,10,0,0
52,84,87,294,10,0,0
53,23,14,4,10,0,0
54,13,4,81,10,0,0
55,13,7,285,10,0,0
56,16,2,90,10,0,0
57,17,-1,462,10,0,0
58,16,3,65,10,0,0
59,13,10,6,10,0,0
60,23,11,4,10,0,0
61,15,5,529,10,0,0
62,17,-1,165,10,0,0
63,11,0,4,10,0,0
64,19,1,394,10,0,0
65,14,3,3,10,0,0
66,18,-3,60,10,0,0
67,118,8,899,10,0,0
68,99,21,169,10,0,0
69,106,-5,10,10,0,0
70,124,8,47,10,0,0
71,104,3,37,10,0,0
72,126,4,23,10,0,0
73,115,7,25,10,0,0
74,110,-3,444,10,0,0
75,98,-6,3,10,0,0
76,111,13,99,10,0,0
77,-67,90,58,10,0,0
78,-56,96,7,10,0,0
79,-56,97,11,10,0,0
80,-57,100,15,10,0,0
81,-54,101,381,10,0,0
82,-50,96,7,10,0,0
83,-64,103,39,10,0,0
84,-63,103,502,10,0,0
85,-57,100,115,10,0,0
86,-53,106,85,10,0,0
87,-57,96,3,10,0,0
88,-67,97,136,10,0,0
89,-61,98,111,10,0,0
90,-66,95,66,10,0,0
91,-51,104,50,10,0,0
92,-62,95,252,10,0,0
93,-67,106,4,10,0,0
94,-51,102,119,10,0,0
95,-86,87,746,10,0,0
96,-82,78,6,10,0,0
97,-92,86,51,10,0,0
98,-86,78,322,10,0,0
99,6,67,1023,10,0,0
100,13,59,5,10,0,0
101,21,66,10,10,0,0
102,8,59,153,10,0,0
103,20,70,29,10,0,0
104,1,62,13,10,0,0
105,19,57,3,10,0,0
106,15,70,4,10,0,0
107,20,55,70,10,0,0
108,8,51,9,10,0,0
109,3,54,147,10,0,0
110,18,68,3,10,0,0
111,12,53,10,10,0,0
112,3,65,4,10,0,0
113,4,62,439,10,0,0
114,19,52,14,10,0,0
115,92,-28,729,10,0,0
116,92,-26,29,10,0,0
117,80,-28,3,10,0,0
118,91,-18,98,10,0,0
119,93,-24,113,10,0,0
120,76,-15,122,10,0,0
121,88,-33,11,10,0,0
122,83,-28,90,10,0,0
123,86,-23,789,10,0,0
124,92,-20,6,10,0,0
125,82,-29,179,10,0,0
126,88,-29,3,10,0,0
127,82,-27,3,10,0,0
128,88,-13,21,10,0,0
129,83,-29,869,10,0,0
130,90,-17,246,10,0,0
131,49,-4,10,10,0,0
132,58,-6,36,10,0,0
133,64,-7,14,10,0,0
134,54,-15,134,10,0,0
135,66,-3,175,10,0,0
136,65,-13,32,10,0,0
137,57,-20,20,10,0,0
138,38,-2,212,10,0,0
139,-44,88,45,10,0,0
140,-36,100,173,10,0,0
141,-37,98,240,10,0,0
142,-39,110,16,10,0,0
143,-34,111,27,10,0,0
144,-47,111,61,10,0,0
145,-28,105,203,10,0,0
146,-38,98,5,10,0,0
147,-32,91,369,10,0,0
148,-25,97,81,10,0,0
149,-46,111,128,10,0,0
150,-36,107,406,10,0,0
151,-35,92,32,10,0,0
